gene_name number_of_transposon_per_gene number_of_read_per_gene
YDR109C 19 122
FOB1 40 1103
ALT2 44 2000
IRC2 9 292
PDS1 8 65
YDR114C 9 132
YDR115W 2 1
MRPL1 15 312
TMA64 10 176
APC4 23 479
YDR118W-A 5 11
VBA4 45 1136
COX26 5 27
TRM1 24 274
DPB4 10 85
KIN1 31 399
INO2 1 0
YDR124W 16 569
ECM18 26 235
SWF1 17 288
ARO1 17 308
MTC5 54 1483
SAC6 15 281
FIN1 11 208
YDR131C 22 492
YDR132C 27 708
YDR133C 3 3
YCF1 34 935
VPS61 27 754
RGP1 4 39
HPR1 12 183
RUB1 6 11
MTQ2 3 13
DOP1 2 14
PEX7 15 243
SAN1 37 945
MKC7 22 528
TAF12 3 24
SWI5 38 1359
EKI1 22 424
KGD2 13 62
YDR149C 7 24
NUM1 47 944
CTH1 19 152
GIR2 4 26
ENT5 22 409
YDR154C 8 20
CPR1 4 15
RPA14 17 144
YDR157W 30 656
HOM2 11 75
SAC3 11 42
SSY1 0 0
YDR161W 8 18
NBP2 2 3
CWC15 15 214
SEC1 0 0
TRM82 35 455
SEC5 30 472
TAF10 4 124
CDC37 1 0
STB3 8 74
YDR169C-A 4 26
SEC7 5 78
HSP42 18 556
SUP35 2 1
ARG82 0 0
HMO1 19 385
RSM24 7 78
NGG1 11 34
UBC1 0 0
SDH4 6 91
CSN9 5 99
YDR179W-A 8 127
SCC2 2 1
SAS4 26 374
CDC1 1 0
YDR182W-A 6 34
PLP1 8 72
YDR183C-A 7 111
ATC1 10 187
UPS3 6 21
YDR186C 27 369
YDR187C 17 115
CCT6 2 2
SLY1 0 0
RVB1 1 0
HST4 15 181
NUP42 21 328
YDR193W 7 58
MSS116 5 15
YDR194W-A 1 0
REF2 11 99
CAB5 2 1
CBS2 5 57
RKM2 15 434
YDR199W 3 5
VPS64 9 24
SPC19 2 17
RAV2 10 58
YDR203W 2 10
COQ4 8 149
MSC2 27 758
EBS1 31 491
UME6 37 969
MSS4 6 73
YDR209C 4 26
YDR210W 2 14
GCD6 3 9
TCP1 0 0
UPC2 36 715
AHA1 20 487
YDR215C 57 1382
ADR1 32 1140
RAD9 9 158
SPR28 22 641
MFB1 6 61
YDR220C 22 153
GTB1 48 1803
YDR222W 23 333
CRF1 29 977
HTB1 1 0
HTA1 4 20
ADK1 3 5
SIR4 25 407
PCF11 2 2
IVY1 31 310
YDR230W 11 246
COX20 9 214
HEM1 2 1
RTN1 12 145
LYS4 7 90
PRP42 2 16
FMN1 1 0
MRPL7 3 21
SEC26 1 0
YDR239C 43 752
SNU56 6 21
BUD26 13 95
AMD2 22 936
PRP28 0 0
PEX5 22 342
MNN10 10 194
TRS23 4 223
YDR246W-A 31 1158
VHS1 20 335
YDR248C 8 47
YDR249C 21 561
YDR250C 47 2090
PAM1 32 554
BTT1 1 0
MET32 9 121
CHL4 20 204
RMD5 10 51
CTA1 65 2259
RKM4 18 243
HSP78 25 421
YAP6 27 692
SWM1 44 1989
EXG2 43 852
YDR262W 14 392
DIN7 28 410
AKR1 2 6
PEX10 10 244
HEL2 15 396
CIA1 0 0
MSW1 6 7
YDR269C 5 51
CCC2 26 491
YDR271C 8 146
GLO2 16 402
DON1 17 219
YDR274C 66 2268
BSC2 8 120
PMP3 2 5
MTH1 20 445
YDR278C 13 67
RNH202 21 567
RRP45 1 0
PHM6 5 7
YDR282C 12 215
GCN2 33 718
DPP1 16 276
ZIP1 16 127
YDR286C 5 22
INM2 7 95
NSE3 2 3
RTT103 3 33
YDR290W 10 84
HRQ1 36 839
SRP101 1 0
SSD1 30 2231
DPL1 16 295
HDA2 24 383
MHR1 5 52
SUR2 2 2
ATP5 1 0
BFR2 1 0
PRO1 1 0
CFT1 2 1
GPI11 2 1
RSC3 3 2
CPR5 8 205
HNT2 10 56
YDR306C 12 198
PMT7 18 449
SRB7 1 0
GIC2 11 170
SUM1 23 360
TFB1 3 12
SSF2 25 613
PIB1 13 141
RAD34 18 348
IPK1 3 4
OMS1 16 163
HIM1 12 97
MCM21 9 42
YFT2 15 177
SWA2 25 770
DAD4 0 0
YDR320W-B 21 494
ASP1 11 306
MRPL35 5 88
TIM11 3 19
PEP7 13 246
UTP4 5 17
YCG1 0 0
YSP2 40 1203
YDR327W 6 131
SKP1 4 110
PEX3 15 678
UBX5 15 253
GPI8 0 0
IRC3 11 209
RQC1 14 296
SWR1 41 666
MSN5 15 295
YDR336W 13 278
MRPS28 7 75
YDR338C 33 1140
FCF1 1 0
YDR340W 12 153
YDR341C 0 0
HXT7 2 1
HXT6 1 0
YDR344C 25 234
HXT3 29 640
SVF1 20 619
MRP1 9 98
PAL1 40 749
YPS7 18 165
ATP22 9 190
SBE2 18 348
YPQ2 19 424
TRR1 7 44
TRP4 17 162
YDR354C-A 2 2
YDR355C 0 0
SPC110 1 0
CNL1 21 366
GGA1 11 188
EAF1 9 162
OPI7 3 3
BCP1 1 0
TFC6 7 66
ESC2 24 415
SEM1 3 2
CDC40 3 2
ESF1 7 44
YDR366C 10 225
KEI1 3 4
YPR1 12 125
XRS2 37 400
DXO1 24 706
CTS2 16 90
YDR371C-A 0 0
VPS74 9 58
FRQ1 0 0
PHO92 14 246
WIP1 0 0
BCS1 18 132
ARH1 3 22
ATP17 3 2
LSM6 1 0
RGA2 27 915
SDH6 4 95
ARO10 26 531
YRA1 2 1
YDR381C-A 2 1
RPP2B 2 6
NKP1 13 155
ATO3 27 1435
EFT2 2 2
MUS81 25 357
YDR387C 19 310
RVS167 8 50
SAC7 27 937
UBA2 6 108
YDR391C 12 208
SPT3 4 38
SHE9 25 475
RPT3 1 0
SXM1 17 119
YDR396W 3 2
NCB2 3 2
UTP5 6 44
HPT1 11 200
URH1 17 439
YDR401W 17 560
DIT2 30 896
DIT1 24 942
RPB7 0 0
