gene_name number_of_transposon_per_gene number_of_read_per_gene
SPO71 49 828
TMS1 25 614
ARP10 33 511
TMN2 29 667
TRS85 12 173
YDR109C 31 591
FOB1 37 1102
ALT2 68 1955
IRC2 26 1026
PDS1 12 123
YDR114C 17 442
YDR115W 2 1
MRPL1 16 163
TMA64 8 116
APC4 22 560
YDR118W-A 2 82
VBA4 55 1177
COX26 3 10
TRM1 26 337
DPB4 7 24
KIN1 32 976
INO2 0 0
YDR124W 15 221
ECM18 22 458
SWF1 13 304
ARO1 12 232
MTC5 62 1065
SAC6 1 0
FIN1 26 675
YDR131C 26 336
YDR132C 28 799
YDR133C 3 3
YCF1 47 1065
VPS61 22 590
RGP1 7 25
HPR1 22 373
RUB1 4 5
MTQ2 5 112
DOP1 2 8
PEX7 16 335
SAN1 28 405
MKC7 24 723
TAF12 1 0
SWI5 25 413
EKI1 36 716
KGD2 11 193
YDR149C 7 101
NUM1 25 734
CTH1 21 219
GIR2 11 61
ENT5 21 257
YDR154C 11 360
CPR1 12 418
RPA14 21 250
YDR157W 34 1304
HOM2 3 4
SAC3 21 276
SSY1 0 0
YDR161W 3 4
NBP2 1 0
CWC15 15 291
SEC1 1 0
TRM82 18 239
SEC5 39 827
TAF10 2 2
CDC37 0 0
STB3 12 55
YDR169C-A 2 1
SEC7 10 69
HSP42 15 72
SUP35 1 0
ARG82 0 0
HMO1 8 307
RSM24 1 0
NGG1 8 154
UBC1 2 24
SDH4 10 82
CSN9 2 1
YDR179W-A 7 37
SCC2 0 0
SAS4 24 465
CDC1 0 0
YDR182W-A 6 61
PLP1 16 339
YDR183C-A 10 64
ATC1 13 116
UPS3 11 86
YDR186C 26 273
YDR187C 9 74
CCT6 1 0
SLY1 2 28
RVB1 1 0
HST4 16 477
NUP42 23 438
YDR193W 8 73
MSS116 2 6
YDR194W-A 4 31
REF2 10 32
CAB5 2 21
CBS2 3 2
RKM2 16 633
YDR199W 11 115
VPS64 16 390
SPC19 0 0
RAV2 4 19
YDR203W 3 6
COQ4 7 71
MSC2 10 583
EBS1 41 874
UME6 13 232
MSS4 12 327
YDR209C 8 27
YDR210W 3 15
GCD6 2 1
TCP1 0 0
UPC2 63 1724
AHA1 27 1120
YDR215C 48 2080
ADR1 59 1494
RAD9 49 1369
SPR28 18 327
MFB1 11 28
YDR220C 20 74
GTB1 52 1550
YDR222W 15 493
CRF1 25 351
HTB1 1 0
HTA1 5 46
ADK1 0 0
SIR4 41 804
PCF11 0 0
IVY1 30 385
YDR230W 23 654
COX20 23 577
HEM1 3 9
RTN1 9 105
LYS4 15 201
PRP42 0 0
FMN1 1 0
MRPL7 5 20
SEC26 0 0
YDR239C 53 1344
SNU56 7 38
BUD26 13 309
AMD2 27 814
PRP28 4 6
PEX5 22 545
MNN10 8 29
TRS23 6 27
YDR246W-A 41 1791
VHS1 34 734
YDR248C 14 77
YDR249C 21 372
YDR250C 39 1677
PAM1 26 557
BTT1 6 100
