gene_name number_of_transposon_per_gene number_of_read_per_gene
HEM13 7 14
RPC11 0 0
BAP3 52 963
HEM12 6 23
YDR048C 21 345
VMS1 38 375
TPI1 1 0
DET1 35 942
DBF4 0 0
YDR053W 1 0
CDC34 5 33
PST1 45 512
YDR056C 20 187
YOS9 49 926
TGL2 35 532
UBC5 25 501
MAK21 10 80
YDR061W 45 774
LCB2 0 0
AIM7 12 144
RPS13 1 0
RRG1 19 413
RTR2 20 341
OCA6 13 183
DOS2 14 89
DOA4 18 51
FMP16 10 142
PAA1 29 533
IPT1 72 1700
SNF11 43 741
TPS2 51 797
PPH3 33 835
RAD55 62 534
SED1 42 513
SHU2 19 379
PET100 14 155
TFB5 6 66
VPS41 23 206
PDC2 2 4
STN1 12 60
RRP8 9 49
TVP23 6 19
AFR1 25 364
SSS1 0 0
RRP1 1 0
SLU7 11 66
YDR089W 37 783
YDR090C 19 366
RLI1 1 0
UBC13 17 165
DNF2 148 3683
YDR094W 61 1803
YDR095C 65 1032
GIS1 33 434
MSH6 37 517
GRX3 11 215
BMH2 37 725
TVP15 6 28
ARX1 11 96
YDR102C 19 413
STE5 22 341
SPO71 27 647
TMS1 13 111
ARP10 17 234
TMN2 21 314
TRS85 11 111
YDR109C 19 292
FOB1 16 147
ALT2 35 604
IRC2 20 370
PDS1 15 157
YDR114C 10 165
YDR115W 8 18
MRPL1 18 372
TMA64 12 89
APC4 8 29
YDR118W-A 2 1
VBA4 46 1072
COX26 6 51
TRM1 40 470
DPB4 14 113
KIN1 38 585
INO2 14 236
YDR124W 12 224
ECM18 17 176
SWF1 18 117
ARO1 44 724
MTC5 34 585
SAC6 13 59
FIN1 11 133
YDR131C 21 350
YDR132C 26 575
YDR133C 8 12
YCF1 53 951
VPS61 13 264
RGP1 9 133
HPR1 21 232
RUB1 2 3
MTQ2 3 3
DOP1 0 0
PEX7 7 65
SAN1 27 552
MKC7 14 82
TAF12 3 2
SWI5 12 74
EKI1 22 333
KGD2 28 407
YDR149C 5 13
NUM1 37 359
CTH1 7 86
GIR2 10 101
ENT5 21 246
YDR154C 7 84
CPR1 15 210
RPA14 13 62
YDR157W 30 515
HOM2 9 67
SAC3 7 141
SSY1 0 0
YDR161W 4 8
NBP2 4 4
CWC15 5 38
SEC1 2 1
TRM82 12 107
SEC5 18 337
TAF10 3 23
CDC37 4 20
STB3 16 147
YDR169C-A 1 0
SEC7 7 78
HSP42 16 216
SUP35 0 0
ARG82 4 9
HMO1 10 19
RSM24 13 72
NGG1 20 132
UBC1 0 0
SDH4 18 432
CSN9 5 8
YDR179W-A 10 138
SCC2 2 1
SAS4 10 95
CDC1 0 0
YDR182W-A 1 0
PLP1 6 91
YDR183C-A 2 2
ATC1 7 52
UPS3 9 102
YDR186C 47 1456
YDR187C 6 31
CCT6 2 1
SLY1 0 0
RVB1 0 0
HST4 12 142
NUP42 8 227
YDR193W 7 202
MSS116 13 106
YDR194W-A 3 8
REF2 14 63
CAB5 2 1
CBS2 4 48
RKM2 12 66
YDR199W 2 2
VPS64 9 213
SPC19 0 0
RAV2 5 21
YDR203W 4 43
COQ4 13 226
MSC2 15 318
EBS1 8 76
UME6 29 339
MSS4 10 237
YDR209C 5 15
YDR210W 3 10
GCD6 1 0
TCP1 0 0
UPC2 38 434
AHA1 32 811
YDR215C 64 1528
ADR1 20 304
RAD9 13 148
SPR28 16 232
MFB1 5 6
YDR220C 10 87
GTB1 29 260
YDR222W 12 64
CRF1 21 139
HTB1 1 0
