gene_name number_of_transposon_per_gene number_of_read_per_gene
LSM6 1 0
RGA2 92 525
SDH6 25 85
ARO10 76 448
YRA1 7 32
YDR381C-A 8 9
RPP2B 8 21
NKP1 30 130
ATO3 83 801
EFT2 10 26
MUS81 58 321
YDR387C 42 211
RVS167 74 307
SAC7 45 311
UBA2 28 143
YDR391C 28 116
SPT3 13 86
SHE9 57 420
RPT3 1 0
SXM1 62 316
YDR396W 23 79
NCB2 24 86
UTP5 41 204
HPT1 29 171
URH1 65 389
YDR401W 35 216
DIT2 68 423
DIT1 70 513
RPB7 0 0
MRP20 115 1349
PDR15 303 3230
YDR406W-A 7 15
TRS120 44 243
ADE8 3 6
SIZ1 54 250
STE14 60 502
DFM1 53 288
RRP17 11 19
YDR413C 6 9
ERD1 64 407
YDR415C 36 280
SYF1 41 244
YDR417C 5 10
RPL12B 7 13
RAD30 50 261
HKR1 116 647
ARO80 106 699
SIP1 73 526
CAD1 47 347
DYN2 20 113
